Age (years),Gender,University Year,Sleep Duration (hrs),Study Hours (hrs/day),Screen Time (hrs/day),Caffeine Intake (drinks/day),Physical Activity (mins/day),Sleep Quality (1-10),Weekday Sleep Start (24h),Weekend Sleep Start (24h),Weekday Sleep End (24h),Weekend Sleep End (24h)
20,M,3,7.1,4.6,3.1,4,114,8,7.93,5.53,6.61,7.84
19,F,3,8.9,10.5,1.2,4,0,10,12.17,4.02,7.31,9.78
20,O,3,7.2,10.4,1.5,1,31,7,5.76,10.94,6.23,10.78
24,M,2,5.3,9.7,3.6,4,88,9,19.41,5.75,6.91,10.98
20,M,2,7.2,9.5,1.7,4,92,5,8.85,14.32,8.17,8.8
21,F,3,6.7,3.7,3.5,2,70,10,16.15,8.67,8.92,8.01
25,O,3,7.9,1.0,1.8,2,112,4,4.09,2.22,8.73,8.77
24,O,3,4.5,4.8,2.9,5,66,8,2.5,17.49,8.74,10.39
21,M,4,7.8,2.1,3.1,1,83,9,1.08,14.2,6.61,7.82
18,M,2,6.7,8.3,2.5,0,19,7,5.28,12.4,6.88,10.81
18,F,4,8.8,4.2,1.9,1,116,7,6.17,19.24,7.82,8.37
25,F,4,5.7,11.7,1.6,1,93,5,17.47,20.38,8.69,10.94
25,O,3,7.2,7.7,1.1,3,34,4,14.94,5.41,5.57,10.35
24,O,3,8.7,9.9,1.9,5,98,10,12.22,2.46,6.22,10.23
19,M,1,4.5,1.6,3.0,3,112,1,5.76,13.91,5.56,8.27
25,O,1,8.7,10.3,3.8,1,102,10,2.79,20.25,7.45,7.04
18,F,4,7.4,11.1,3.6,1,90,10,18.03,20.68,6.23,8.53
20,F,2,4.3,5.8,3.3,1,89,7,2.63,4.17,6.3,8.21
21,M,3,5.5,7.3,3.4,4,77,1,7.39,12.72,5.28,7.15
18,F,3,7.5,9.2,3.0,3,16,1,9.17,15.6,6.4,9.02
18,F,4,4.3,2.1,1.8,1,17,5,17.8,12.47,8.45,8.61
19,F,1,6.9,6.0,3.7,2,44,9,20.83,15.63,5.93,9.54
24,F,2,5.7,4.8,3.0,5,115,6,10.06,12.22,7.78,9.48
24,M,1,7.1,1.8,2.7,5,92,3,8.32,4.81,7.52,7.48
23,M,1,4.2,4.4,1.3,2,83,3,17.57,10.15,8.45,10.91
19,O,1,8.4,0.8,2.3,5,52,7,10.31,8.11,5.53,7.75
20,F,1,8.9,0.3,2.4,4,90,6,4.01,14.71,8.91,8.78
24,O,3,8.8,1.6,3.6,4,81,9,4.46,7.23,7.33,8.95
21,M,3,7.7,11.6,2.6,0,67,6,2.53,8.67,8.98,10.25
25,M,1,4.7,6.6,2.1,0,64,5,14.32,19.61,8.65,7.4
19,M,2,7.8,11.6,3.9,0,113,10,15.32,10.55,5.89,8.71
25,M,4,4.1,5.2,1.3,5,0,7,6.26,16.87,5.22,9.51
18,M,2,4.1,3.7,2.3,4,57,1,12.95,5.92,6.02,7.86
21,M,2,5.6,6.1,1.1,4,25,7,20.16,13.48,7.11,9.51
21,M,2,6.4,5.3,3.2,4,108,3,16.06,2.11,5.69,10.69
18,F,1,7.9,1.3,3.8,2,19,9,13.21,20.15,5.67,10.99
19,O,3,7.4,7.7,1.8,4,115,6,15.86,6.39,6.85,7.13
18,M,2,6.2,2.6,3.6,2,86,9,15.02,8.53,5.13,7.94
25,F,1,5.4,7.4,1.9,0,9,5,15.83,6.65,5.49,8.24
23,F,2,9.0,7.8,3.7,0,58,7,21.13,15.85,6.66,8.6
21,O,2,6.1,1.8,3.3,5,74,4,8.62,12.16,5.25,7.97
22,M,1,6.3,0.7,3.4,0,40,7,9.46,6.07,6.59,7.81
22,O,3,4.8,9.4,1.1,5,104,1,8.28,17.35,6.9,10.82
25,M,3,8.0,5.5,3.9,1,4,7,17.96,17.48,6.81,10.67
20,F,4,7.5,0.7,3.2,1,64,8,15.79,10.98,8.48,7.19
24,F,1,5.1,11.9,1.9,3,16,5,8.99,11.53,7.12,8.36
18,F,4,4.4,0.7,3.5,5,21,2,9.41,16.35,6.87,8.62
18,F,4,7.4,8.3,1.8,3,97,5,11.37,16.04,6.64,7.96
20,O,4,7.3,11.8,3.6,3,119,6,14.64,16.44,8.27,9.52
20,M,3,5.4,2.9,1.3,1,108,2,2.83,6.57,8.58,9.56
25,M,1,8.8,1.7,3.1,5,40,6,14.86,8.96,8.41,10.4
25,O,4,4.8,1.5,2.6,1,92,6,12.43,5.35,7.69,9.96
20,M,1,6.2,3.6,1.3,3,67,1,7.76,2.49,5.55,9.17
21,F,1,8.7,1.2,1.7,5,68,1,10.6,12.52,6.11,9.61
25,M,3,6.1,8.3,1.0,3,10,10,14.72,20.67,5.18,8.1
23,F,4,7.2,0.7,2.4,4,55,3,12.85,21.04,8.72,9.37
25,O,4,6.0,6.1,1.9,5,50,10,5.32,16.09,7.64,8.96
18,M,1,5.4,12.0,2.8,5,20,10,16.16,3.35,7.99,7.53
25,O,2,8.9,9.8,1.9,3,98,3,19.01,11.54,6.25,7.97
21,M,3,6.0,7.4,1.9,4,75,4,15.42,16.56,8.38,8.17
20,F,3,8.5,3.7,3.2,2,25,2,4.16,14.02,6.04,10.7
18,O,3,5.1,7.5,1.1,1,114,9,20.13,10.03,5.01,7.92
25,M,3,5.1,6.3,3.7,3,18,10,1.17,8.94,6.51,8.16
21,F,4,4.2,5.1,3.6,5,108,7,10.64,18.92,7.28,8.48
23,O,4,7.3,1.6,3.0,1,59,7,1.32,2.46,6.91,9.65
25,O,2,5.8,10.6,2.8,1,70,6,2.28,11.1,8.45,7.47
21,M,3,8.3,5.4,3.7,1,46,3,12.49,19.29,5.42,10.82
23,M,3,6.4,2.3,1.6,2,118,6,17.83,4.13,7.22,10.46
20,M,1,8.8,4.4,1.2,0,70,8,18.54,20.51,7.05,9.31
25,F,4,4.9,5.0,1.7,3,25,8,16.96,3.85,6.13,9.7
23,M,3,8.3,9.9,3.4,0,39,9,7.09,2.07,8.29,7.07
18,O,2,7.9,8.8,1.1,0,4,1,16.27,7.99,8.01,8.36
20,O,2,7.9,9.2,2.7,0,20,1,14.83,6.59,7.93,10.18
18,M,4,8.2,0.1,4.0,1,77,3,12.58,15.25,8.5,7.31
22,M,2,7.8,5.0,3.6,4,3,3,2.82,3.17,7.89,8.13
19,O,2,7.1,5.8,2.6,1,22,10,18.02,11.41,5.93,9.34
25,F,4,4.7,0.2,1.2,1,105,8,21.89,7.35,7.82,8.03
23,M,3,4.2,3.1,3.5,5,83,10,20.74,3.52,6.23,10.74
19,M,3,8.6,9.1,2.8,5,14,1,3.0,2.5,5.97,7.52
19,O,2,7.1,1.6,1.3,0,113,2,8.4,5.34,5.29,10.19
23,M,2,8.0,6.4,1.3,1,115,2,16.27,15.94,7.98,9.03
20,F,3,6.4,2.6,3.7,0,108,3,18.28,2.67,7.84,10.0
25,O,4,4.6,0.1,3.0,5,92,6,15.82,9.44,5.94,8.24
22,M,2,4.6,2.9,3.5,4,7,1,19.59,3.39,8.0,9.06
18,O,1,7.4,11.7,3.6,3,40,2,2.23,8.48,8.67,10.43
21,M,4,6.2,9.6,2.7,0,111,1,5.53,15.86,5.43,8.87
18,M,2,5.0,11.5,2.6,4,18,5,12.29,14.6,5.93,8.44
21,M,2,6.5,5.9,2.3,3,111,7,3.84,10.99,8.0,9.14
18,F,1,4.3,1.3,2.0,2,102,8,16.76,6.2,6.1,9.87
23,F,1,6.9,6.6,2.3,0,45,10,6.94,15.64,7.5,8.77
22,O,3,5.3,5.5,3.3,0,27,1,4.02,10.41,5.32,10.76
25,M,4,8.0,10.1,2.8,2,109,7,14.51,15.09,6.81,8.18
21,M,4,5.6,1.2,3.7,2,120,5,6.09,5.68,7.96,8.9
25,F,3,6.3,5.9,2.3,0,90,10,15.8,12.67,7.75,10.03
25,M,4,4.1,1.8,2.8,2,67,1,15.72,20.47,8.26,9.76
25,F,4,4.4,3.9,2.9,1,14,3,19.75,18.68,8.51,10.45
24,M,4,6.0,8.8,2.8,3,98,7,12.76,20.78,8.09,10.99
20,O,4,6.4,5.7,3.1,3,36,10,6.68,12.01,7.69,8.71
18,M,4,7.0,4.5,1.7,3,0,1,2.26,19.87,5.13,7.44
25,M,1,5.5,4.7,2.5,1,66,7,9.32,19.72,7.14,7.12
18,F,4,7.5,5.5,1.3,2,110,5,3.87,3.18,5.15,9.91
25,M,1,8.3,9.4,2.2,4,23,1,4.73,4.55,8.23,10.5
21,M,4,7.9,10.7,2.5,2,26,1,18.36,12.96,6.28,7.88
20,F,3,4.2,11.5,3.0,0,39,1,11.8,2.28,7.25,7.63
20,O,2,6.4,9.4,3.9,5,62,9,19.54,22.0,6.12,7.25
23,O,1,4.5,3.8,2.8,3,60,3,7.67,9.72,8.13,10.29
24,F,4,5.2,8.3,3.2,2,35,5,2.05,9.67,8.55,8.25
23,F,3,8.9,5.3,2.5,4,97,10,19.12,12.85,6.59,8.61
23,F,2,4.7,3.1,2.9,0,92,9,6.59,14.06,8.45,9.01
23,F,1,6.5,10.1,1.2,1,23,6,8.72,12.89,6.07,10.36
23,F,2,7.1,0.5,1.8,1,23,9,9.74,13.7,7.14,9.6
23,O,3,7.5,10.8,2.1,4,105,8,13.81,7.39,8.44,9.46
22,O,1,6.8,5.5,2.4,0,3,8,14.54,19.29,6.3,7.7
20,F,2,4.0,7.6,1.1,3,66,1,21.05,18.05,8.82,9.05
23,M,4,5.6,7.9,1.4,2,33,9,17.42,18.39,5.49,9.86
25,F,1,6.6,10.7,1.8,0,56,6,21.68,16.75,5.07,10.89
20,M,2,4.4,7.6,3.9,1,48,9,9.79,11.49,8.62,7.81
20,F,3,5.8,7.4,2.0,4,86,3,19.78,19.78,5.27,7.04
19,F,3,4.2,0.8,2.4,4,52,3,3.67,4.64,8.97,7.3
22,O,1,4.4,6.2,1.6,2,119,6,11.01,16.05,8.81,8.5
23,M,2,6.0,1.8,2.8,4,115,9,7.31,18.75,5.55,10.28
18,M,1,4.7,8.8,1.8,4,22,7,13.37,8.49,7.15,7.03
21,O,1,6.8,6.1,1.6,0,108,3,10.23,21.24,5.74,8.83
24,O,2,7.4,8.2,2.5,3,68,3,2.2,9.6,6.71,8.32
25,O,2,8.0,0.5,1.0,2,94,2,20.26,8.04,5.25,7.21
18,O,4,5.0,1.0,1.0,0,52,9,16.67,17.7,5.9,8.8
22,M,2,4.8,8.6,1.7,3,61,3,5.62,21.16,6.45,8.02
21,M,3,4.5,0.9,1.1,0,40,5,19.93,14.73,6.75,8.41
22,F,1,7.2,0.9,1.3,5,56,9,20.41,20.03,8.91,9.82
25,F,1,7.5,0.1,2.0,0,120,8,14.41,19.67,8.23,9.09
20,O,3,4.2,11.5,3.4,4,59,2,20.06,16.91,7.95,7.5
21,O,2,8.7,8.9,2.7,3,53,3,9.71,16.09,7.15,10.85
20,O,3,4.3,4.2,2.5,2,69,2,17.25,11.4,8.36,9.54
25,F,3,6.7,3.6,1.9,2,100,8,3.19,8.43,6.36,10.06
18,F,4,7.5,4.2,3.8,3,56,6,5.55,10.14,7.84,7.32
25,F,3,8.4,9.3,2.2,4,9,6,7.31,19.03,8.98,7.19
18,F,1,7.6,7.9,1.3,1,39,9,9.04,18.56,6.26,7.08
21,F,3,8.0,2.2,2.9,0,6,8,3.87,4.42,7.7,7.76
21,F,1,5.7,2.1,1.3,4,102,4,17.32,10.83,8.38,8.66
23,F,1,8.1,1.2,2.0,5,37,4,3.66,4.6,8.66,10.74
22,O,1,4.4,7.9,2.5,3,84,9,5.42,14.57,7.87,8.83
23,O,2,8.5,9.2,3.6,0,60,1,6.29,9.71,6.13,8.16
22,O,4,6.7,3.2,2.5,2,83,2,10.21,11.53,6.31,9.25
23,O,1,8.1,0.3,3.1,1,2,2,16.83,15.62,5.08,7.45
20,F,1,6.3,1.0,4.0,5,50,6,13.11,12.6,8.04,9.44
21,M,2,7.2,11.6,1.4,2,85,4,5.34,11.95,5.17,9.27
18,F,1,6.6,3.5,1.8,3,46,10,21.33,17.98,8.46,10.17
22,M,3,7.7,9.2,2.2,0,67,3,5.58,15.7,5.47,10.95
25,O,3,4.4,7.5,2.3,3,91,3,16.96,6.17,5.69,8.0
22,F,4,4.3,4.6,2.2,0,75,3,18.97,3.68,6.91,9.04
18,O,1,5.2,2.5,3.7,4,37,6,19.57,14.8,7.95,10.64
23,F,2,4.8,1.5,3.1,1,114,8,21.43,15.86,5.56,10.14
22,O,3,8.4,7.4,2.8,4,35,7,11.0,18.1,6.76,8.95
24,M,2,5.1,9.3,1.9,4,110,4,17.42,8.43,6.93,10.78
20,M,2,8.9,7.7,3.5,3,40,4,1.22,15.54,5.85,7.23
21,M,3,5.7,6.4,3.9,1,68,10,9.94,2.25,5.46,10.72
18,F,2,4.9,0.5,3.5,0,12,2,19.1,15.49,8.35,7.2
21,M,3,7.9,11.6,1.0,0,86,1,7.54,14.12,7.01,9.19
